date,channel,campaign,ad_set,product_focus,spend,impressions,clicks,platform_reported_revenue,platform_reported_conversions
2025-09-14,Google Ads,Search - Brand,N/A,SKU008,12.27,894,45,137.58,3
2025-09-15,Google Ads,Search - Brand,N/A,SKU001,13.3,1104,40,10.31,0
2025-09-16,Google Ads,Search - Brand,N/A,SKU005,14.24,1193,33,93.48,2
2025-09-17,Google Ads,Search - Brand,N/A,SKU004,8.85,573,18,7.51,0
2025-09-18,Google Ads,Search - Brand,N/A,SKU001,9.46,627,22,112.78,3
2025-09-19,Google Ads,Search - Brand,N/A,SKU004,13.46,1313,59,78.04,2
2025-09-20,Google Ads,Search - Brand,N/A,SKU010,13.99,1465,69,123.45,3
2025-09-21,Google Ads,Search - Brand,N/A,SKU006,17.99,1323,74,156.85,4
2025-09-22,Google Ads,Search - Brand,N/A,SKU004,11.09,866,27,5.46,0
2025-09-23,Google Ads,Search - Brand,N/A,SKU008,12.83,851,45,95.29,2
2025-09-24,Google Ads,Search - Brand,N/A,SKU002,34.25,2179,58,284.49,7
2025-09-25,Google Ads,Search - Brand,N/A,SKU005,11.7,731,43,45.98,1
2025-09-26,Google Ads,Search - Brand,N/A,SKU008,12.53,1024,26,7.43,0
2025-09-27,Google Ads,Search - Brand,N/A,SKU010,13.54,1279,61,174.52,4
2025-09-28,Google Ads,Search - Brand,N/A,SKU008,9.35,736,41,9.83,0
2025-09-29,Google Ads,Search - Brand,N/A,SKU007,14.23,1537,64,186.42,4
2025-09-30,Google Ads,Search - Brand,N/A,SKU001,14.55,1382,79,147.14,4
2025-10-01,Google Ads,Search - Brand,N/A,SKU002,8.97,630,37,94.05,2
2025-10-02,Google Ads,Search - Brand,N/A,SKU012,11.43,1224,37,84.59,2
2025-10-03,Google Ads,Search - Brand,N/A,SKU008,51.38,4006,237,492.46,12
2025-10-04,Google Ads,Search - Brand,N/A,SKU006,11.04,900,26,57.72,1
2025-10-05,Google Ads,Search - Brand,N/A,SKU009,12.81,976,46,5.52,0
2025-10-06,Google Ads,Search - Brand,N/A,SKU008,13.46,1469,40,63.89,2
2025-10-07,Google Ads,Search - Brand,N/A,SKU007,33.4,2950,159,314.45,7
2025-10-08,Google Ads,Search - Brand,N/A,SKU002,19.19,1228,49,161.34,4
2025-10-09,Google Ads,Search - Brand,N/A,SKU003,10.96,734,24,56.8,1
2025-10-10,Google Ads,Search - Brand,N/A,SKU001,12.0,844,27,37.55,1
2025-10-11,Google Ads,Search - Brand,N/A,SKU009,16.12,1405,55,148.39,4
2025-10-12,Google Ads,Search - Brand,N/A,SKU003,20.72,1520,45,163.24,4
2025-10-13,Google Ads,Search - Brand,N/A,SKU004,9.93,905,31,43.28,1
2025-10-14,Google Ads,Search - Brand,N/A,SKU006,45.98,3350,133,392.73,9
2025-10-15,Google Ads,Search - Brand,N/A,SKU005,14.54,1206,33,76.44,2
2025-10-16,Google Ads,Search - Brand,N/A,SKU005,13.49,1137,65,12.38,0
2025-10-17,Google Ads,Search - Brand,N/A,SKU004,16.12,1683,94,156.4,4
2025-10-18,Google Ads,Search - Brand,N/A,SKU007,16.32,1518,83,177.22,4
2025-10-19,Google Ads,Search - Brand,N/A,SKU003,9.88,922,30,92.32,2
2025-10-20,Google Ads,Search - Brand,N/A,SKU005,8.9,711,19,59.33,1
2025-10-21,Google Ads,Search - Brand,N/A,SKU003,16.67,1167,64,187.43,4
2025-10-22,Google Ads,Search - Brand,N/A,SKU006,13.42,1175,63,65.18,2
2025-10-23,Google Ads,Search - Brand,N/A,SKU003,15.52,1358,64,128.9,3
2025-10-24,Google Ads,Search - Brand,N/A,SKU008,10.03,913,43,105.48,3
2025-10-25,Google Ads,Search - Brand,N/A,SKU001,18.15,1644,77,162.45,4
2025-10-26,Google Ads,Search - Brand,N/A,SKU003,11.88,896,31,105.02,3
2025-10-27,Google Ads,Search - Brand,N/A,SKU003,12.65,893,51,90.48,2
2025-10-28,Google Ads,Search - Brand,N/A,SKU005,12.94,1127,60,136.43,3
2025-10-29,Google Ads,Search - Brand,N/A,SKU001,24.39,1532,45,315.41,8
2025-10-30,Google Ads,Search - Brand,N/A,SKU001,11.04,897,29,5.52,0
2025-10-31,Google Ads,Search - Brand,N/A,SKU005,13.71,1349,53,102.73,2
2025-11-01,Google Ads,Search - Brand,N/A,SKU009,14.47,1121,35,98.87,2
2025-11-02,Google Ads,Search - Brand,N/A,SKU003,14.4,1405,43,106.72,3
2025-11-03,Google Ads,Search - Brand,N/A,SKU003,9.35,1022,57,80.7,2
2025-11-04,Google Ads,Search - Brand,N/A,SKU005,8.55,758,25,76.26,2
2025-11-05,Google Ads,Search - Brand,N/A,SKU003,22.72,2406,105,222.32,5
2025-11-06,Google Ads,Search - Brand,N/A,SKU006,59.51,3783,151,503.23,12
2025-11-07,Google Ads,Search - Brand,N/A,SKU010,18.22,1827,100,194.23,5
2025-11-08,Google Ads,Search - Brand,N/A,SKU011,9.16,688,25,46.56,1
2025-11-09,Google Ads,Search - Brand,N/A,SKU012,10.87,701,30,115.17,3
2025-11-10,Google Ads,Search - Brand,N/A,SKU003,14.48,1233,53,6.06,0
2025-11-11,Google Ads,Search - Brand,N/A,SKU003,56.31,5170,152,524.41,12
2025-11-12,Google Ads,Search - Brand,N/A,SKU004,9.21,604,35,117.62,3
2025-11-13,Google Ads,Search - Brand,N/A,SKU011,8.58,916,45,4.21,0
2025-11-14,Google Ads,Search - Brand,N/A,SKU002,11.73,754,42,47.17,1
