customer_id,first_order_date,acquisition_channel,acquisition_campaign,region,device
CUST000001,2025-09-14,Organic Social,(organic social),Northeast,Mobile
CUST000002,2025-09-14,Direct,(direct),Northeast,Desktop
CUST000003,2025-09-14,Unattributed,(not set),Midwest,Desktop
CUST000004,2025-09-14,Google Ads,PMax - Skincare Prospecting,South,Mobile
CUST000005,2025-09-14,Google Ads,Search - Brand,Midwest,Mobile
CUST000006,2025-09-14,Google Ads,Search - Brand,South,Mobile
CUST000007,2025-09-14,Google Ads,Search - Brand,South,Desktop
CUST000008,2025-09-14,Meta Ads,Retargeting - Engaged 30d,West,Mobile
CUST000009,2025-09-14,Google Ads,Shopping - Bestsellers,South,Desktop
CUST000010,2025-09-14,Google Ads,Search - Nonbrand Skincare,Midwest,Mobile
CUST000011,2025-09-14,Google Ads,Search - Nonbrand Skincare,South,Desktop
CUST000012,2025-09-14,Unattributed,(not set),Midwest,Desktop
CUST000013,2025-09-14,Organic Search,(organic),Northeast,Mobile
CUST000014,2025-09-14,Organic Social,(organic social),South,Tablet
CUST000015,2025-09-14,Organic Social,(organic social),Midwest,Desktop
CUST000016,2025-09-14,Direct,(direct),South,Mobile
CUST000017,2025-09-14,Organic Social,(organic social),West,Mobile
CUST000018,2025-09-14,Google Ads,PMax - Skincare Prospecting,Northeast,Desktop
CUST000019,2025-09-14,Google Ads,PMax - Skincare Prospecting,Northeast,Desktop
CUST000020,2025-09-14,Direct,(direct),Northeast,Mobile
CUST000021,2025-09-14,Google Ads,Shopping - Bestsellers,South,Mobile
CUST000022,2025-09-14,Direct,(direct),Northeast,Desktop
CUST000023,2025-09-14,Meta Ads,Retargeting - Cart Abandon,Northeast,Mobile
CUST000024,2025-09-14,Organic Search,(organic),Midwest,Mobile
CUST000025,2025-09-14,Organic Search,(organic),West,Desktop
CUST000026,2025-09-14,Organic Social,(organic social),South,Mobile
CUST000027,2025-09-15,Organic Social,(organic social),South,Desktop
CUST000028,2025-09-15,Google Ads,Search - Nonbrand Skincare,West,Mobile
