order_id,transaction_id,order_date,customer_id,is_new_customer,channel,campaign,device,region,product_id,quantity,unit_price,gross_item_revenue,discount_amount,shipping_revenue,tax_amount,gross_revenue,cogs,shipping_cost,payment_fee
ORD100000,ORD100000,2025-09-14,CUST000001,True,Organic Social,(organic social),Mobile,Northeast,SKU007,1,52.0,52.0,0.0,6.95,0.0,58.95,16.64,9.32,2.01
ORD100001,ORD100001,2025-09-14,CUST000002,True,Direct,(direct),Desktop,Northeast,SKU005,1,42.0,42.0,0.0,6.95,0.0,48.95,10.5,7.93,1.72
ORD100002,ORD100002,2025-09-14,CUST000003,True,Unattributed,(not set),Desktop,Midwest,SKU002,1,22.0,22.0,2.17,6.95,0.0,28.95,6.6,8.77,1.08
ORD100003,ORD100003,2025-09-14,CUST000004,True,Google Ads,PMax - Skincare Prospecting,Mobile,South,SKU003,1,48.0,48.0,0.0,6.95,0.0,54.95,12.0,8.57,1.89
ORD100004,ORD100004,2025-09-14,CUST000001,False,Direct,(direct),Mobile,Northeast,SKU007,1,52.0,52.0,4.21,6.95,0.0,58.95,16.64,9.37,1.89
ORD100005,ORD100005,2025-09-14,CUST000005,True,Google Ads,Search - Brand,Mobile,Midwest,SKU005,1,42.0,42.0,0.0,6.95,0.0,48.95,10.5,8.67,1.72
ORD100006,ORD100006,2025-09-14,CUST000006,True,Google Ads,Search - Brand,Mobile,South,SKU010,1,28.0,28.0,3.19,6.95,0.0,34.95,8.4,7.49,1.22
ORD100007,ORD100007,2025-09-14,CUST000003,False,Meta Ads,Prospecting - Lookalike 1%,Desktop,Midwest,SKU001,1,24.0,24.0,0.0,6.95,2.32,33.27,7.2,8.32,1.26
ORD100008,ORD100008,2025-09-14,CUST000007,True,Google Ads,Search - Brand,Desktop,South,SKU001,1,24.0,24.0,0.0,6.95,0.0,30.95,7.2,8.72,1.2
ORD100009,ORD100009,2025-09-14,CUST000003,False,Organic Search,(organic),Desktop,Midwest,SKU003,1,48.0,48.0,0.0,6.95,3.69,58.64,12.0,8.31,2.0
ORD100010,ORD100010,2025-09-14,CUST000001,False,Organic Search,(organic),Mobile,Northeast,SKU006,1,38.0,38.0,0.0,6.95,2.55,47.5,11.4,7.97,1.68
ORD100011,ORD100011,2025-09-14,CUST000008,True,Meta Ads,Retargeting - Engaged 30d,Mobile,West,SKU011,1,98.0,98.0,0.0,0.0,9.15,107.15,38.0,7.68,3.41
ORD100012,ORD100012,2025-09-14,CUST000009,True,Google Ads,Shopping - Bestsellers,Desktop,South,SKU005,1,42.0,42.0,0.0,6.95,2.73,51.68,10.5,7.94,1.8
ORD100013,ORD100013,2025-09-14,CUST000010,True,Google Ads,Search - Nonbrand Skincare,Mobile,Midwest,SKU003,1,48.0,48.0,0.0,6.95,5.04,59.99,12.0,8.94,2.04
ORD100014,ORD100014,2025-09-14,CUST000011,True,Google Ads,Search - Nonbrand Skincare,Desktop,South,SKU011,1,98.0,98.0,0.0,0.0,0.0,98.0,38.0,7.41,3.14
ORD100015,ORD100015,2025-09-14,CUST000012,True,Unattributed,(not set),Desktop,Midwest,SKU010,2,28.0,56.0,0.0,6.95,0.0,62.95,16.8,8.03,2.13
ORD100016,ORD100016,2025-09-14,CUST000013,True,Organic Search,(organic),Mobile,Northeast,SKU003,1,48.0,48.0,0.0,6.95,4.34,59.29,12.0,8.11,2.02
ORD100017,ORD100017,2025-09-14,CUST000014,True,Organic Social,(organic social),Tablet,South,SKU002,1,22.0,22.0,2.11,6.95,2.02,30.97,6.6,8.26,1.14
ORD100018,ORD100018,2025-09-14,CUST000015,True,Organic Social,(organic social),Desktop,Midwest,SKU002,1,22.0,22.0,0.0,6.95,2.16,31.11,6.6,8.2,1.2
ORD100019,ORD100019,2025-09-14,CUST000016,True,Direct,(direct),Mobile,South,SKU006,1,38.0,38.0,4.95,6.95,0.0,44.95,11.4,8.83,1.46
ORD100020,ORD100020,2025-09-14,CUST000017,True,Organic Social,(organic social),Mobile,West,SKU009,2,34.0,68.0,9.77,6.95,0.0,74.95,21.76,7.71,2.19
ORD100021,ORD100021,2025-09-14,CUST000018,True,Google Ads,PMax - Skincare Prospecting,Desktop,Northeast,SKU005,1,42.0,42.0,7.12,6.95,2.41,51.36,10.5,9.43,1.58
ORD100022,ORD100022,2025-09-14,CUST000006,False,Email/SMS,Flow - Abandoned Cart,Mobile,South,SKU003,1,48.0,48.0,3.88,6.95,2.92,57.87,12.0,7.01,1.87
