session_id,session_date,journey_id,customer_id,source,medium,campaign,utm_source,utm_medium,utm_campaign,device,landing_page,touch_position,touch_count,viewed_product,added_to_cart,began_checkout,is_purchase,transaction_id,revenue_ga4
SESS0000001,2025-09-06,ORD100000,CUST000001,Organic Search,organic,(organic),,organic,,Mobile,/products/vitamin-c-serum,1,2,True,True,False,False,,
SESS0000002,2025-09-14,ORD100000,CUST000001,Organic Social,social,(organic social),organic_social,social,(organic social),Mobile,/products/retinol-renewal-serum,2,2,True,True,True,True,ORD100000,58.95
SESS0000003,2025-09-03,ORD100001,CUST000002,Organic Social,social,(organic social),organic_social,social,(organic social),Desktop,/products/vitamin-c-serum,1,4,True,True,True,False,,
SESS0000004,2025-09-10,ORD100001,CUST000002,Meta Ads,paid_social,Retargeting - Engaged 30d,meta_ads,paid_social,Retargeting - Engaged 30d,Desktop,/collections/bestsellers,2,4,True,True,False,False,,
SESS0000005,2025-09-09,ORD100001,CUST000002,Google Ads,cpc,Shopping - Bestsellers,google_ads,cpc,Shopping - Bestsellers,Desktop,/products/daily-barrier-moisturizer,3,4,True,False,True,False,,
SESS0000006,2025-09-14,ORD100001,CUST000002,Direct,(none),(direct),,(none),,Desktop,/collections/skincare-sets,4,4,True,True,True,True,ORD100001,48.95
SESS0000007,2025-09-14,ORD100002,CUST000003,Unattributed,(not set),(not set),,(not set),,Desktop,/products/daily-barrier-moisturizer,1,1,True,True,True,True,ORD100002,28.95
SESS0000008,2025-09-14,ORD100003,CUST000004,Organic Social,social,(organic social),organic_social,social,,Mobile,/pages/about,1,1,True,True,True,True,ORD100003,54.95
SESS0000009,2025-09-14,ORD100004,CUST000001,Direct,(none),(direct),,(none),,Mobile,/collections/bestsellers,1,1,True,True,True,True,ORD100004,58.95
SESS0000010,2025-09-14,ORD100005,CUST000005,Google Ads,cpc,Search - Brand,google_ads,cpc,Search - Brand,Mobile,/collections/all,1,1,True,True,True,True,ORD100005,48.95
SESS0000011,2025-09-14,ORD100006,CUST000006,Google Ads,cpc,Search - Brand,google_ads,cpc,Search - Brand,Mobile,/collections/all,1,1,True,True,True,True,ORD100006,34.95
SESS0000012,2025-09-14,ORD100007,CUST000003,Meta Ads,paid_social,Prospecting - Lookalike 1%,meta_ads,paid_social,Prospecting - Lookalike 1%,Desktop,/products/mineral-sunscreen-spf-40,1,1,True,True,True,True,ORD100007,33.27
SESS0000013,2025-09-05,ORD100009,CUST000003,Organic Search,organic,(organic),,organic,,Desktop,/products/vitamin-c-serum,1,2,True,False,False,False,,
SESS0000014,2025-09-14,ORD100009,CUST000003,Organic Search,organic,(organic),,organic,,Desktop,/products/daily-barrier-moisturizer,2,2,True,True,True,True,ORD100009,58.64
SESS0000015,2025-09-12,ORD100010,CUST000001,Organic Search,organic,(organic),,organic,,Mobile,/collections/all,1,2,True,False,False,False,,
SESS0000016,2025-09-14,ORD100010,CUST000001,Organic Search,organic,(organic),,organic,,Mobile,/products/vitamin-c-serum,2,2,True,True,True,True,ORD100010,44.8
SESS0000017,2025-09-14,ORD100010,CUST000001,Organic Search,organic,(organic),,organic,,Mobile,/products/vitamin-c-serum,2,2,True,True,True,True,ORD100010,44.8
SESS0000018,2025-09-14,ORD100011,CUST000008,Meta Ads,paid_social,Retargeting - Engaged 30d,meta_ads,paid_social,,Mobile,/products/glow-ritual-bundle,1,1,True,True,True,True,ORD100011,107.15
SESS0000019,2025-09-14,ORD100013,CUST000010,Google Ads,cpc,Search - Nonbrand Skincare,google_ads,cpc,Search - Nonbrand Skincare,Mobile,/collections/bestsellers,1,1,True,True,True,True,ORD100013,59.99
SESS0000020,2025-09-14,ORD100014,CUST000011,Google Ads,cpc,Search - Nonbrand Skincare,google_ads,cpc,Search - Nonbrand Skincare,Desktop,/collections/all,1,1,True,True,True,True,ORD100014,98.0
SESS0000021,2025-09-14,ORD100015,CUST000012,Unattributed,(not set),(not set),,(not set),,Desktop,/collections/bestsellers,1,1,True,True,True,True,ORD100015,62.95
SESS0000022,2025-09-14,ORD100016,CUST000013,Organic Search,organic,(organic),,organic,,Mobile,/collections/bestsellers,1,1,True,True,True,True,ORD100016,54.8
SESS0000023,2025-09-04,ORD100017,CUST000014,Organic Social,social,(organic social),organic_social,social,(organic social),Tablet,/collections/all,1,2,True,True,True,False,,
SESS0000024,2025-09-14,ORD100017,CUST000014,Organic Search,organic,(organic),,organic,,Tablet,/collections/bestsellers,2,2,True,True,True,True,ORD100017,30.97
SESS0000025,2025-09-11,ORD100019,CUST000016,Email/SMS,email,Flow - Welcome Series,email/sms,email,Flow - Welcome Series,Mobile,/products/retinol-renewal-serum,1,2,True,False,False,False,,
SESS0000026,2025-09-14,ORD100019,CUST000016,Direct,(none),(direct),,(none),,Mobile,/collections/all,2,2,True,True,True,True,ORD100019,44.95
SESS0000027,2025-09-12,ORD100020,CUST000017,Meta Ads,paid_social,Retargeting - Engaged 30d,meta_ads,paid_social,Retargeting - Engaged 30d,Mobile,/,1,2,True,True,False,False,,
SESS0000028,2025-09-14,ORD100020,CUST000017,Organic Social,social,(organic social),organic_social,social,,Mobile,/pages/about,2,2,True,True,True,True,ORD100020,74.95
