date,channel,campaign,net_revenue,cogs,shipping_cost,payment_fees,refunds,orders,new_customers,ad_spend,platform_reported_revenue
2025-09-14,Direct,(direct),251.64,63.44,45.16,8.8,0.0,5.0,4.0,0.0,0.0
2025-09-14,Email/SMS,Flow - Abandoned Cart,223.02,71.0,20.959999999999997,7.37,0.0,3.0,0.0,0.0,0.0
2025-09-14,Email/SMS,Flow - Post Purchase Winback,86.64,20.4,15.96,3.12,0.0,2.0,0.0,0.0,0.0
2025-09-14,Google Ads,PMax - Skincare Prospecting,129.11,29.7,26.939999999999998,4.64,0.0,3.0,3.0,64.72,169.05
2025-09-14,Google Ads,Search - Brand,111.66000000000001,26.099999999999998,24.880000000000003,4.14,0.0,3.0,3.0,12.27,137.58
2025-09-14,Google Ads,Search - Nonbrand Skincare,157.99,50.0,16.35,5.18,0.0,2.0,2.0,43.51,167.76
2025-09-14,Google Ads,Shopping - Bestsellers,163.68,41.86,16.740000000000002,5.35,0.0,2.0,2.0,44.78,171.42
2025-09-14,Meta Ads,Prospecting - Broad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,5.34
2025-09-14,Meta Ads,Prospecting - Lookalike 1%,33.269999999999996,7.2,8.32,1.26,0.0,1.0,0.0,13.62,40.26
2025-09-14,Meta Ads,Retargeting - Cart Abandon,88.0,26.4,8.99,2.85,0.0,1.0,1.0,15.09,113.69
2025-09-14,Meta Ads,Retargeting - Engaged 30d,107.15,38.0,7.68,3.41,0.0,1.0,1.0,38.9,154.39
2025-09-14,Organic Search,(organic),259.03,56.400000000000006,49.06,9.319999999999999,16.85,6.0,3.0,0.0,0.0
2025-09-14,Organic Social,(organic social),237.69000000000003,62.10000000000001,41.949999999999996,8.389999999999999,0.0,5.0,5.0,0.0,0.0
2025-09-14,Unattributed,(not set),152.26,40.04,24.659999999999997,5.32,0.0,3.0,2.0,0.0,0.0
2025-09-15,Direct,(direct),110.68,26.4,23.549999999999997,4.1,0.0,3.0,2.0,0.0,0.0
