cohort_month,month_index,retention_pct
2025-09,0,1.0
2025-10,0,1.0
2025-11,0,1.0
2025-12,0,1.0
2026-01,0,1.0
2026-02,0,1.0
2026-03,0,1.0
2026-04,0,1.0
2026-05,0,1.0
2026-06,0,1.0
2026-07,0,1.0
2026-08,0,1.0
2026-09,0,1.0
2025-09,1,0.4419
2025-10,1,0.2925
2025-11,1,0.1648
2025-12,1,0.1226
2026-01,1,0.1085
2026-02,1,0.1453
2026-03,1,0.1306
2026-04,1,0.1464
2026-05,1,0.1248
2026-06,1,0.1177
2026-07,1,0.1267
2026-08,1,0.0739
2025-09,2,0.261
2025-10,2,0.1992
2025-11,2,0.0919
2025-12,2,0.1074
2026-01,2,0.1419
2026-02,2,0.156
2026-03,2,0.1293
2026-04,2,0.1026
2026-05,2,0.1456
2026-06,2,0.1483
2026-07,2,0.0754
2025-09,3,0.1731
2025-10,3,0.1086
2025-11,3,0.1184
2025-12,3,0.1327
2026-01,3,0.1228
2026-02,3,0.1269
2026-03,3,0.1255
2026-04,3,0.1314
2026-05,3,0.1326
2026-06,3,0.0535
2025-09,4,0.1344
2025-10,4,0.1184
2025-11,4,0.1439
2025-12,4,0.1358
2026-01,4,0.1244
2026-02,4,0.107
2026-03,4,0.1178
2026-04,4,0.1202
2026-05,4,0.0754
2025-09,5,0.0698
2025-10,5,0.0641
2025-11,5,0.0616
2025-12,5,0.1246
2026-01,5,0.0973
2026-02,5,0.1208
2026-03,5,0.128
2026-04,5,0.0738
2025-11,6,0.0028
2025-12,6,0.0122
2026-01,6,0.0207
2026-02,6,0.0229
2026-03,6,0.023
