month,segment,net_revenue
2025-09-01,New,27132.11
2025-09-01,Returning,14763.62
2025-10-01,New,51953.770000000004
2025-10-01,Returning,27663.170000000002
2025-11-01,New,72356.45
2025-11-01,Returning,33044.03
2025-12-01,New,68959.83
2025-12-01,Returning,35620.48
2026-01-01,New,44426.0
2026-01-01,Returning,28310.58
2026-02-01,New,46404.19
2026-02-01,Returning,33185.21
2026-03-01,New,57632.12
2026-03-01,Returning,41814.12
2026-04-01,New,56793.28
2026-04-01,Returning,40785.23
2026-05-01,New,57850.74
2026-05-01,Returning,41135.05
2026-06-01,New,44829.82
2026-06-01,Returning,34513.06
2026-07-01,New,46723.39
2026-07-01,Returning,42815.05
2026-08-01,New,46850.93
2026-08-01,Returning,41259.840000000004
2026-09-01,New,23805.53
2026-09-01,Returning,20112.420000000002
