order_id,order_date,channel,campaign,customer_type,device,region,product_name,category,quantity,unit_price,gross_item_revenue,discount_amount,shipping_revenue,tax_amount,net_revenue,cogs,shipping_cost,payment_fees,refund_amount,is_refunded
ORD100000,2025-09-14,Organic Social,(organic social),New,Mobile,Northeast,Overnight Repair Cream,Moisturizers,1,52.0,52.0,0.0,6.95,0.0,58.95,16.64,9.32,2.01,0.0,False
ORD100001,2025-09-14,Direct,(direct),New,Desktop,Northeast,Hyaluronic Moisture Serum,Serums,1,42.0,42.0,0.0,6.95,0.0,48.95,10.5,7.93,1.72,0.0,False
ORD100002,2025-09-14,Unattributed,(not set),New,Desktop,Midwest,Clarify Foaming Cleanser,Cleansers,1,22.0,22.0,2.17,6.95,0.0,26.779999999999998,6.6,8.77,1.08,0.0,False
ORD100003,2025-09-14,Google Ads,PMax - Skincare Prospecting,New,Mobile,South,Vitamin C Brightening Serum,Serums,1,48.0,48.0,0.0,6.95,0.0,54.95,12.0,8.57,1.89,0.0,False
ORD100004,2025-09-14,Direct,(direct),Returning,Mobile,Northeast,Overnight Repair Cream,Moisturizers,1,52.0,52.0,4.21,6.95,0.0,54.74,16.64,9.37,1.89,0.0,False
ORD100005,2025-09-14,Google Ads,Search - Brand,New,Mobile,Midwest,Hyaluronic Moisture Serum,Serums,1,42.0,42.0,0.0,6.95,0.0,48.95,10.5,8.67,1.72,0.0,False
ORD100006,2025-09-14,Google Ads,Search - Brand,New,Mobile,South,Clay Detox Mask,Masks,1,28.0,28.0,3.19,6.95,0.0,31.759999999999998,8.4,7.49,1.22,0.0,False
ORD100007,2025-09-14,Meta Ads,Prospecting - Lookalike 1%,Returning,Desktop,Midwest,Gentle Hydra Cleanser,Cleansers,1,24.0,24.0,0.0,6.95,2.32,33.269999999999996,7.2,8.32,1.26,0.0,False
ORD100008,2025-09-14,Google Ads,Search - Brand,New,Desktop,South,Gentle Hydra Cleanser,Cleansers,1,24.0,24.0,0.0,6.95,0.0,30.95,7.2,8.72,1.2,0.0,False
ORD100009,2025-09-14,Organic Search,(organic),Returning,Desktop,Midwest,Vitamin C Brightening Serum,Serums,1,48.0,48.0,0.0,6.95,3.69,58.64,12.0,8.31,2.0,0.0,False
ORD100010,2025-09-14,Organic Search,(organic),Returning,Mobile,Northeast,Daily Barrier Moisturizer,Moisturizers,1,38.0,38.0,0.0,6.95,2.55,47.5,11.4,7.97,1.68,0.0,False
ORD100011,2025-09-14,Meta Ads,Retargeting - Engaged 30d,New,Mobile,West,The Essentials Bundle,Bundles & Sets,1,98.0,98.0,0.0,0.0,9.15,107.15,38.0,7.68,3.41,0.0,False
ORD100012,2025-09-14,Google Ads,Shopping - Bestsellers,New,Desktop,South,Hyaluronic Moisture Serum,Serums,1,42.0,42.0,0.0,6.95,2.73,51.68,10.5,7.94,1.8,0.0,False
ORD100013,2025-09-14,Google Ads,Search - Nonbrand Skincare,New,Mobile,Midwest,Vitamin C Brightening Serum,Serums,1,48.0,48.0,0.0,6.95,5.04,59.99,12.0,8.94,2.04,0.0,False
ORD100014,2025-09-14,Google Ads,Search - Nonbrand Skincare,New,Desktop,South,The Essentials Bundle,Bundles & Sets,1,98.0,98.0,0.0,0.0,0.0,98.0,38.0,7.41,3.14,0.0,False
ORD100015,2025-09-14,Unattributed,(not set),New,Desktop,Midwest,Clay Detox Mask,Masks,2,28.0,56.0,0.0,6.95,0.0,62.95,16.8,8.03,2.13,0.0,False
ORD100016,2025-09-14,Organic Search,(organic),New,Mobile,Northeast,Vitamin C Brightening Serum,Serums,1,48.0,48.0,0.0,6.95,4.34,59.290000000000006,12.0,8.11,2.02,0.0,False
ORD100017,2025-09-14,Organic Social,(organic social),New,Tablet,South,Clarify Foaming Cleanser,Cleansers,1,22.0,22.0,2.11,6.95,2.02,28.86,6.6,8.26,1.14,0.0,False
ORD100018,2025-09-14,Organic Social,(organic social),New,Desktop,Midwest,Clarify Foaming Cleanser,Cleansers,1,22.0,22.0,0.0,6.95,2.16,31.11,6.6,8.2,1.2,0.0,False
ORD100019,2025-09-14,Direct,(direct),New,Mobile,South,Daily Barrier Moisturizer,Moisturizers,1,38.0,38.0,4.95,6.95,0.0,40.0,11.4,8.83,1.46,0.0,False
ORD100020,2025-09-14,Organic Social,(organic social),New,Mobile,West,Bright Eyes Depuffing Cream,Eye Care,2,34.0,68.0,9.77,6.95,0.0,65.18,21.76,7.71,2.19,0.0,False
ORD100021,2025-09-14,Google Ads,PMax - Skincare Prospecting,New,Desktop,Northeast,Hyaluronic Moisture Serum,Serums,1,42.0,42.0,7.12,6.95,2.41,44.24000000000001,10.5,9.43,1.58,0.0,False
ORD100022,2025-09-14,Email/SMS,Flow - Abandoned Cart,Returning,Mobile,South,Vitamin C Brightening Serum,Serums,1,48.0,48.0,3.88,6.95,2.92,53.99,12.0,7.01,1.87,0.0,False
ORD100023,2025-09-14,Google Ads,PMax - Skincare Prospecting,New,Desktop,Northeast,Gentle Hydra Cleanser,Cleansers,1,24.0,24.0,2.64,6.95,1.61,29.919999999999998,7.2,8.94,1.17,0.0,False
ORD100024,2025-09-14,Direct,(direct),New,Mobile,Northeast,Gentle Hydra Cleanser,Cleansers,2,24.0,48.0,0.0,6.95,0.0,54.95,14.4,9.76,1.89,0.0,False
ORD100025,2025-09-14,Email/SMS,Flow - Post Purchase Winback,Returning,Desktop,South,Clay Detox Mask,Masks,1,28.0,28.0,0.0,6.95,2.12,37.07,8.4,8.18,1.38,0.0,False
ORD100026,2025-09-14,Google Ads,Shopping - Bestsellers,New,Mobile,South,Retinol Renewal Serum,Serums,2,56.0,112.0,0.0,0.0,0.0,112.0,31.36,8.8,3.55,0.0,False
ORD100027,2025-09-14,Direct,(direct),New,Desktop,Northeast,Hyaluronic Moisture Serum,Serums,1,42.0,42.0,0.0,6.95,4.05,53.0,10.5,9.27,1.84,0.0,False
ORD100028,2025-09-14,Meta Ads,Retargeting - Cart Abandon,New,Mobile,Northeast,Clarify Foaming Cleanser,Cleansers,4,22.0,88.0,0.0,0.0,0.0,88.0,26.4,8.99,2.85,0.0,False
ORD100029,2025-09-14,Organic Search,(organic),New,Mobile,Midwest,Clarify Foaming Cleanser,Cleansers,1,22.0,22.0,0.0,6.95,0.0,28.95,6.6,8.33,1.14,0.0,False
ORD100030,2025-09-14,Organic Search,(organic),New,Desktop,West,Gentle Hydra Cleanser,Cleansers,1,24.0,24.0,0.0,6.95,0.0,30.95,7.2,7.34,1.2,0.0,False
ORD100031,2025-09-14,Email/SMS,Flow - Post Purchase Winback,Returning,Mobile,South,Vitamin C Brightening Serum,Serums,1,48.0,48.0,9.23,6.95,3.85,49.57,12.0,7.78,1.74,0.0,False
ORD100032,2025-09-14,Email/SMS,Flow - Abandoned Cart,Returning,Desktop,South,The Essentials Bundle,Bundles & Sets,1,98.0,98.0,10.34,0.0,0.0,87.66,38.0,7.14,2.84,0.0,False
ORD100033,2025-09-14,Organic Social,(organic social),New,Mobile,South,Hyaluronic Moisture Serum,Serums,1,42.0,42.0,0.0,6.95,4.64,53.59,10.5,8.46,1.85,0.0,False
ORD100034,2025-09-14,Unattributed,(not set),Returning,Desktop,Northeast,Overnight Repair Cream,Moisturizers,1,52.0,52.0,0.0,6.95,3.58,62.53,16.64,7.86,2.11,0.0,False
ORD100035,2025-09-14,Organic Search,(organic),Returning,Desktop,Midwest,Gentle Hydra Cleanser,Cleansers,1,24.0,24.0,0.0,6.95,2.75,33.7,7.2,9.0,1.28,16.85,True
ORD100036,2025-09-14,Email/SMS,Flow - Abandoned Cart,Returning,Desktop,West,Hyaluronic Moisture Serum,Serums,2,42.0,84.0,9.58,6.95,0.0,81.37,21.0,6.81,2.66,0.0,False
ORD100037,2025-09-15,Unattributed,(not set),Returning,Mobile,South,Gentle Hydra Cleanser,Cleansers,1,24.0,24.0,4.47,6.95,1.55,28.03,7.2,8.32,1.11,0.0,False
ORD100038,2025-09-15,Organic Social,(organic social),New,Desktop,South,Clarify Foaming Cleanser,Cleansers,4,22.0,88.0,0.0,0.0,0.0,88.0,26.4,8.3,2.85,0.0,False
ORD100039,2025-09-15,Google Ads,Search - Nonbrand Skincare,New,Mobile,West,Clarify Foaming Cleanser,Cleansers,1,22.0,22.0,0.0,6.95,0.0,28.95,6.6,7.36,1.14,0.0,False
ORD100040,2025-09-15,Meta Ads,Retargeting - Engaged 30d,New,Mobile,West,Retinol Renewal Serum,Serums,1,56.0,56.0,8.33,6.95,0.0,54.620000000000005,15.68,7.63,1.88,0.0,False
ORD100041,2025-09-15,Organic Social,(organic social),New,Mobile,South,Daily Barrier Moisturizer,Moisturizers,1,38.0,38.0,0.0,6.95,0.0,44.95,11.4,8.37,1.6,0.0,False
ORD100042,2025-09-15,Organic Social,(organic social),New,Mobile,Northeast,Hyaluronic Moisture Serum,Serums,1,42.0,42.0,7.6,6.95,2.83,44.18,10.5,7.91,1.58,0.0,False
ORD100043,2025-09-15,Email/SMS,Flow - Abandoned Cart,Returning,Mobile,Northeast,Clarify Foaming Cleanser,Cleansers,1,22.0,22.0,2.08,6.95,0.0,26.87,6.6,9.72,1.08,0.0,False
ORD100044,2025-09-15,Organic Search,(organic),Returning,Mobile,South,Daily Barrier Moisturizer,Moisturizers,1,38.0,38.0,5.43,6.95,3.5,43.02,11.4,7.23,1.55,0.0,False
ORD100045,2025-09-15,Email/SMS,Flow - Post Purchase Winback,Returning,Desktop,West,Retinol Renewal Serum,Serums,1,56.0,56.0,0.0,6.95,0.0,62.95,15.68,7.37,2.13,0.0,False
ORD100046,2025-09-15,Email/SMS,Flow - Welcome Series,Returning,Mobile,South,Hyaluronic Moisture Serum,Serums,1,42.0,42.0,0.0,6.95,4.34,53.290000000000006,10.5,7.07,1.85,0.0,False
ORD100047,2025-09-15,Email/SMS,Flow - Post Purchase Winback,Returning,Desktop,West,Hyaluronic Moisture Serum,Serums,1,42.0,42.0,0.0,6.95,0.0,48.95,10.5,7.47,1.72,0.0,False
ORD100048,2025-09-15,Meta Ads,Retargeting - Cart Abandon,Returning,Mobile,Midwest,Hyaluronic Moisture Serum,Serums,1,42.0,42.0,5.37,6.95,0.0,43.580000000000005,10.5,9.23,1.56,0.0,False
ORD100049,2025-09-15,Meta Ads,Retargeting - Cart Abandon,New,Mobile,South,Daily Barrier Moisturizer,Moisturizers,1,38.0,38.0,0.0,6.95,0.0,44.95,11.4,8.31,1.6,0.0,False
ORD100050,2025-09-15,Organic Social,(organic social),New,Desktop,Midwest,The Essentials Bundle,Bundles & Sets,2,98.0,196.0,0.0,0.0,0.0,196.0,76.0,7.63,5.98,0.0,False
ORD100051,2025-09-15,Unattributed,(not set),New,Tablet,West,Mineral Sunscreen SPF 40,Sunscreen,2,32.0,64.0,0.0,6.95,6.11,77.06,19.2,6.75,2.53,0.0,False
ORD100052,2025-09-15,Unattributed,(not set),New,Mobile,Midwest,Gentle Hydra Cleanser,Cleansers,1,24.0,24.0,0.0,6.95,0.0,30.95,7.2,9.25,1.2,30.95,True
ORD100053,2025-09-15,Meta Ads,Retargeting - Cart Abandon,Returning,Desktop,South,Bright Eyes Depuffing Cream,Eye Care,1,34.0,34.0,5.26,6.95,2.7,38.39000000000001,10.88,8.62,1.41,0.0,False
ORD100054,2025-09-15,Direct,(direct),New,Desktop,West,Clay Detox Mask,Masks,1,28.0,28.0,0.0,6.95,0.0,34.95,8.4,7.1,1.31,0.0,False
